locationID,Latitude,Longitude
35FD,29.6922,82.7292
FL33,29.6683,82.8261
43FL,28.9842,81.8169
X23,28.9228,81.6519
X59,27.9608,80.5583
VPS,30.4833,86.5253
FL34,30.6319,86.7472
20FL,27.0426,82.0436
A51,29.7586,85.2892
FD24,27.2212,80.5206
FD59,26.8695,81.7175
PGD,26.9198,81.9906
40FL,26.8851,81.7511
6FL3,26.9373,81.5669
F13,26.9686,81.9164
2J9,30.5975,84.5572
49FD,30.6119,84.6417
FL28,30.0558,82.1722
FA50,29.3614,82.1497
2RR,27.7794,81.2039
2FL8,27.8836,81.3631
21FA,28.2983,80.7186
FL46,29.8211,81.4969
22FA,27.3031,82.2725
FA77,27.3309,82.2906
4FL8,27.3437,82.3172
SRQ,27.3954,82.5544
3FD6,28.7642,80.8539
X26,27.8133,80.4956
SEF,27.4564,81.3425
6FL2,30.7275,84.9178
FL41,26.5812,80.7558
SGJ,29.9592,81.3397
14FD,29.9492,81.4903
72FL,28.1575,81.2347
FD37,28.1372,81.2633
57FA,28.2086,81.1192
SPG,27.7651,82.6269
LNA,26.5931,80.0850
PBI,26.6832,80.0956
FD38,26.6464,80.2942
X60,29.3542,82.4728
96FL,29.2425,82.5453
FD77,27.7120,82.2828
FL95,27.7086,80.4528
GIF,28.0628,81.7533
FL54,29.9356,82.4106
6FD5,27.7786,81.0997
83FL,30.6189,81.5336
X61,28.7353,81.6292
FA83,28.7264,81.6508
FL97,28.7603,81.6058
ZPH,28.2281,82.1558
FL00,27.4189,81.8325
VNC,27.0716,82.4403
FD25,27.5625,80.4997
FL74,27.5986,80.5019
X52,27.6322,80.5275
23FD,27.5472,80.6619
FL89,27.5542,80.4397
VRB,27.6556,80.4181
48FL,30.8142,87.4750
49FL,30.9772,87.4950
CHN,27.5149,81.8806
2FL0,30.4569,85.6861
15FD,30.6586,85.5300
47FL,28.9642,81.7789
97FL,28.9619,81.8914
3FL0,29.4361,81.6567
FD74,28.0658,80.9022
F45,26.8459,80.2222
61GA,33.3019,82.1722
GA15,33.7086,83.5792
GE35,33.7314,83.4697
GA16,33.7242,83.5669
GA61,33.2689,84.4972
BQK,31.2592,81.4664
SSI,31.1519,81.3911
82A,32.2828,84.5036
6A1,32.5675,84.2508
GA63,32.1794,83.9000
GA17,32.1689,83.9736
GE27,32.6022,83.7542
70J,30.8881,84.1547
GA65,34.4369,84.9197
CZL,34.4556,84.9392
CXU,31.2131,84.2353
18A,34.3403,83.1308
47A,34.3106,84.4239
3GE3,34.4119,83.1842
33GA,34.2600,83.2867
78GA,33.5042,85.0172
8GA8,33.5772,85.0031
6GA8,33.5078,85.1856
CTJ,33.6317,85.1522
27GA,33.6583,85.0100
VPC,34.1231,84.8486
53GA,34.1678,85.2586
4A4,34.0186,85.1464
7GE5,33.3592,85.1175
GA67,34.7681,83.5931
67FL,27.4556,82.1050
15J,31.1372,83.4539
GA14,31.4031,84.3228
ABY,31.5356,84.1944
AMG,31.5361,82.5067
ACJ,32.1108,84.1889
0GE7,33.5203,82.3725
4GA8,31.4156,84.7131
GA22,31.4386,84.7083
GE12,31.7486,83.5736
75J,31.6858,83.6322
AHN,33.9486,83.3264
RYY,34.0133,84.5969
PDK,33.8756,84.3019
FTY,33.7792,84.5214
ATL,33.6367,84.4281
CCO,33.3117,84.7697
FFC,33.3572,84.5719
4GE1,30.7239,84.5411
AGS,33.3700,81.9644
DNL,33.4664,82.0394
83GA,30.9997,84.5061
BGE,30.9717,84.6369
GA59,33.1000,84.0586
GA86,32.9839,84.0956
BHC,31.7139,82.3939
DZJ,34.8544,83.9972
BIJ,31.3975,84.8947
57GA,34.8631,84.3939
GA73,33.1617,84.4533
GA74,33.0417,84.4125
4GA1,33.0447,84.3983
2GA5,33.0417,84.4322
36GA,33.7300,83.9747
GA80,33.7822,83.9889
CKF,31.9889,83.7739
AJR,34.4997,83.5567
07GA,33.6750,83.7631
9A1,33.6322,83.8475
9GE7,33.5314,83.7919
GA83,33.5467,83.8056
2GE7,34.9581,84.7792
GA20,30.8111,81.4628
4GA9,34.2422,84.0572
GA27,34.1011,84.1611
6GA0,34.1325,84.1994
25J,31.7019,84.8269
9A0,34.5831,84.0200
CWV,32.1950,81.8694
GA19,32.1572,81.8886
GA18,34.8328,83.4097
GE99,34.9144,83.4597
GA09,34.4517,83.7886
21GE,34.5497,83.8222
0GE5,34.5617,83.7136
9GA1,32.4489,81.3369
48A,32.4006,83.2783
CSG,32.5164,84.9389
02GA,34.2025,83.4292
88GA,33.1119,84.4447
1GE5,33.1011,84.3936
GA68,33.1147,84.4492
GA75,33.0872,84.4053
GA29,33.1561,84.4311
HOE,31.0558,82.7742
98GA,33.2056,83.9125
0GE1,31.6656,83.4472
GA01,33.1978,84.0844
62GA,33.3244,83.9164
JZP,34.4533,84.4572
19A,34.1744,83.5611
09J,31.0744,81.4278
0GA6,33.7333,83.8189
JES,31.5539,81.8825
15GA,32.6803,82.4789
9A5,34.6886,85.2906
GE05,34.6156,85.3431
GA98,32.9486,85.0539
LGC,33.0089,85.0725
GA44,33.0792,85.0317
LZU,33.9781,83.9625
GE11,34.6058,85.4619
8GA3,31.7753,84.1250
5GA6,32.1500,83.8614
3GE8,33.8433,82.4789
00GA,33.7675,84.0683
GA04,33.3656,84.1653
GE33,33.3044,84.1367
6GA4,33.7969,83.8514
2J3,32.9861,82.3847
GA89,33.4758,84.2769
1GA2,33.1772,84.7486
MAC,32.8222,83.5619
MCN,32.6928,83.6492
GA50,33.5975,83.5178
PUJ,33.9119,84.9406
DNN,34.7231,84.8703
GA72,34.8817,84.8897
7GA4,32.5811,83.2678
3GE7,31.4128,81.4372
GA21,31.4614,81.3386
08GA,31.4258,81.2858
16J,31.7433,84.4192
9GA3,31.8397,84.4817
30GA,34.4589,84.1814
17J,31.0069,84.8775
DQH,31.4767,82.8606
4GA6,33.6619,84.6806
25GA,33.6594,84.6631
0GE0,33.7819,84.8008
GE26,32.3817,83.0597
23GE,32.3831,83.1000
DBN,32.5644,82.9853
9GA8,32.6936,82.8989
EZM,32.2164,83.1286
9GA9,33.2181,83.3172
32GA,33.4542,83.2778
GA48,31.5861,84.7906
27A,34.0953,82.8158
49A,34.6283,84.5267
4GA4,34.8467,84.7547
02GE,34.1753,84.9244
GA25,30.6914,82.5675
GA91,33.3969,84.4603
GA92,33.5194,84.5144
GA95,33.5261,84.5022
GA94,33.4914,84.4894
GA90,33.4519,84.4094
19GA,33.4236,84.5000
74GA,31.8347,83.2186
FZG,31.6839,83.2708
3J6,30.7964,82.0281
GA76,33.1547,83.8989
LSF,32.3372,84.9914
79GA,31.4914,85.0167
LHW,31.8892,81.5622
1GE4,32.5011,83.9333
GE25,32.6833,83.8569
GA99,32.5489,83.8019
5GE1,32.5703,83.7219
1GE3,33.2539,85.1703
5GA7,33.2017,85.2306
GA81,32.5478,83.8269
GVL,34.2725,83.8303
7GA3,32.6633,82.0753
97GA,34.2681,83.6722
80GA,33.2586,84.8447
3J7,33.5978,83.1389
2GE3,33.6761,83.2594
10GA,33.3250,84.2983
GA62,33.2550,84.4003
6A2,33.2269,84.2750
4GA7,33.1344,84.2542
5GA5,33.2597,84.3494
8GA6,33.1622,84.3206
GA43,32.3214,81.4267
1GA5,30.9311,83.3836
4A7,33.3892,84.3322
0GA0,33.3561,84.3672
6GA1,33.1989,84.5839
5GA0,33.2275,84.5444
0GA2,34.3778,82.9458
0GA1,34.4778,82.8972
51A,32.2836,83.4386
AZE,31.8847,82.6475
2J2,31.7847,81.6411
1GA9,33.7614,83.6528
67GA,33.8592,83.5878
GA00,33.8256,83.6397
D73,33.7825,83.6928
53A,32.3019,84.0075
GA06,33.3325,83.7269
4GE3,32.4989,83.1917
91GA,33.2736,84.7933
MGR,31.0850,83.8033
MUL,31.1378,83.7042
09GA,31.1114,83.6842
GE04,32.6669,84.9656
4J1,31.2075,81.9058
4J2,31.2125,83.2264
1GA8,31.1786,83.2267
GE01,30.9189,83.0689
2GA0,33.5264,83.6381
2GE8,33.4642,84.6633
GA79,33.3447,84.9114
26GA,33.3361,84.9139
17GA,33.4667,84.8661
13GE,32.3608,82.3181
2GA1,33.6806,83.8528
89GE,33.5375,84.6389
1GE7,33.5172,83.4397
52A,33.6122,83.4606
GA36,34.3917,84.2417
MGE,33.9153,84.5164
63GA,33.4528,84.0953
MQW,32.0958,82.8800
MHP,32.3739,82.0792
92GE,32.8453,82.2708
MLJ,33.1542,83.2406
9GA6,33.0978,83.4047
2J5,32.8936,81.9653
4GE0,32.9361,81.6619
77GA,33.1639,84.2136
GA39,31.9844,81.2461
SVN,32.0100,81.1461
SAV,32.1275,81.2022
64GA,33.2833,84.5389
2GA8,34.3497,85.0769
29GA,33.3842,84.6319
72GA,31.5836,81.2331
1GA0,31.6394,81.3289
2GA9,33.8092,83.9997
18GA,33.6931,83.6578
3GA8,32.3294,82.6350
4J8,32.3875,82.5633
2GA2,32.3947,81.2806
4J6,30.7533,81.5583
GA07,32.2372,81.6450
1GA4,32.3286,81.7553
TBR,32.4828,81.7369
4A0,33.5356,84.1792
3GA0,33.5275,84.1569
GA87,34.6981,84.0128
GA23,34.5783,85.3839
0GE4,33.3314,84.2667
SBO,32.6092,82.3700
76GA,32.7447,81.6131
JYL,32.6453,81.5972
GA88,32.9772,81.5361
13GA,31.3667,83.7550
SYV,31.5564,83.8942
3GA1,32.7250,84.3583
85GA,34.1722,83.7311
0GA3,33.7700,85.0608
55GE,34.9806,84.7417
OPN,32.9550,84.2642
TVI,30.9017,83.8811
HQU,33.5297,82.5169
GA31,33.4736,84.6736
1GE6,31.3725,82.1233
PXE,32.5106,83.7672
PIM,32.8406,84.8825
47GA,32.2197,83.8553
2GA3,32.2064,83.7864
44GA,32.1044,83.4831
7A9,32.0886,84.3725
22GA,34.4292,85.0544
4J5,30.8050,83.5867
RVJ,32.0589,82.1517
GA34,32.0322,82.0414
05GA,32.0714,84.7144
GA03,34.8694,85.1997
3GE4,34.7300,85.5419
0GA9,32.7139,84.0275
0GE9,32.6939,81.7986
RMG,34.3508,85.1586
8GA1,33.4211,85.1619
OKZ,32.9667,82.8381
GA35,32.1575,81.3967
UPP,20.2652,155.8600
ITO,19.7202,155.0483
HI05,20.0836,155.5022
NPS,21.3649,157.9597
HNL,21.3187,157.9225
OGG,20.8986,156.4306
KOA,19.7388,156.0456
HI13,19.7886,155.8500
LUP,21.2110,156.9736
MUE,20.0013,155.6681
NGF,21.4504,157.7681
JRF,21.3074,158.0703
MKK,21.1529,157.0961
HI49,21.1479,157.2586
BKH,22.0228,159.7850
JHM,20.9629,156.6731
LNY,20.7856,156.9514
LIH,21.9760,159.3389
HDH,21.5795,158.1972
HI23,19.5475,155.1083
HI25,19.1228,155.5781
HI27,20.0283,155.3881
HI28,19.2161,155.4686
HI29,19.2275,155.5094
HI33,21.9424,159.4403
HI46,21.9658,159.4272
HFS,23.8641,166.2847
TMA,31.4289,83.4886
69GE,33.9231,82.6528
TOC,34.5928,83.2964
0GE3,34.9047,85.4597
86GA,34.8678,85.0611
51GA,33.5081,84.6006
94GA,32.2631,83.7872
50GA,30.9508,83.2342
7GA2,30.7789,83.2019
VAD,30.9686,83.1931
0GA8,30.8872,83.4161
VLD,30.7814,83.2761
8GA9,33.2767,84.4108
VDI,32.1928,82.3711
3GA5,33.6369,84.9389
81GA,33.6408,84.9050
20GA,33.7567,84.8850
82GA,32.8089,82.3853
5A9,32.9372,84.6961
WRB,32.6403,83.5919
5A2,32.5606,83.6767
IIY,33.7794,82.8158
1GE9,32.7144,84.7181
GA47,31.1853,82.2733
AYS,31.2492,82.3956
BXG,33.0414,82.0028
3GA7,33.1625,81.7683
GE30,33.2211,81.9953
3GA6,33.5706,84.8983
6GA5,33.5781,84.9069
5GA2,33.5731,84.9097
95GA,33.4558,84.9431
7GA9,33.5706,84.8978
96GA,33.1858,84.3681
5GA3,33.1600,84.3653
GA2,33.1833,84.3717
WDR,33.9828,83.6675
1GE2,32.8444,84.5439
6GE2,32.8328,84.5378
5GA4,34.1058,84.4486
3GE9,34.1400,84.3781
3RU,33.3328,84.4008
65J,33.2228,82.3844
01GE,32.6744,82.7711
GA49,32.9278,84.1414
9GA0,33.0569,84.3425
GA10,33.0689,84.3519
3GA9,33.1333,84.3775
GUM,13.4839,144.7972
UAM,13.5839,144.9300
BSF,19.7600,155.5539
HNM,20.7956,156.0144
HI01,22.2092,159.4456
HI03,22.0413,159.3897
PAK,21.8969,159.6031
09IA,41.7458,92.4094
IA70,43.4258,93.8358
BRL,40.7833,91.1256
CIN,42.0461,94.7889
97IA,41.2558,95.4767
24IA,42.5158,92.5197
4IA7,42.4719,92.4953
CID,41.8847,91.7108
0IA8,42.2281,91.7511
TVK,40.6839,92.9011
IA05,40.8517,92.8586
CNC,41.0197,93.3597
CCY,43.0725,92.6108
CKP,42.7311,95.5561
ICL,40.7222,95.0267
CAV,42.7419,93.7589
IA12,43.0972,93.4022
CWI,41.8311,90.3292
CRZ,40.9942,94.7550
CBF,41.2600,95.7586
IA35,41.1872,95.9042
CJJ,43.3653,92.1331
CSQ,41.0214,94.3633
IA36,41.0750,94.4269
2IA9,43.1908,93.7708
39IA,41.6794,94.0203
4IA4,40.8186,91.3389
DVN,41.6103,90.5883
IA51,41.5417,94.0086
DEH,43.2756,91.7394
DNS,41.9867,95.3806
IA38,41.5481,93.4292
DSM,41.5339,93.6631
Y76,41.6556,93.6442
IA54,42.5022,90.8431
DBQ,42.4019,90.7094
IA80,42.4961,91.1800
EAG,42.7097,93.9161
99IA,41.2167,92.7781
HHI,21.4847,158.0397
4C7,42.5475,93.0333
4C8,40.9944,92.7631
AXA,43.0778,94.2719
K98,42.7639,92.8044
C11,41.7936,91.8647
AMW,41.9919,93.6219
Y43,41.4403,94.7697
IKV,41.6911,93.5664
46IA,41.7558,93.5667
AIO,41.4039,95.0489
ADU,41.7014,94.9206
Y46,40.6378,94.7294
TZT,41.8789,92.2844
Y48,42.8528,93.5947
IA27,40.9778,92.5878
4K6,40.7322,92.4283
BNW,42.0494,93.8475
POH,42.7428,94.6472
IA48,41.7417,93.7253
Y16,43.0789,91.6153
2Y0,43.0781,95.6144
2Y1,42.3167,93.4169
3IA9,43.4758,93.9072
RDK,41.0108,95.2589
8IA9,41.1561,95.2442
5IA6,42.8306,94.0117
RRQ,43.4522,96.1797
2Y4,42.3878,94.6186
5IA5,43.1431,92.8781
13IA,42.0336,90.1836
SKI,42.3792,94.9797
SHL,43.2083,95.8333
SDA,40.7517,95.4136
ISB,43.3694,95.7597
SOY,43.1344,96.1875
SUX,42.4025,96.3844
SPW,43.1656,95.2028
0F3,43.3875,95.1392
IA26,40.8083,91.8086
SLB,42.5972,95.2406
8C2,41.5742,92.8467
53IA,41.9500,92.5767
8C4,41.7633,91.1531
8C5,41.9883,92.5481
8C6,42.1992,92.4581
0IA6,41.6597,92.2900
6C0,42.3306,93.1139
I27,42.8472,91.3822
IA62,41.5333,95.0753
EGQ,43.1019,94.7047
EST,43.4075,94.7464
FFL,41.0558,91.9808
IA56,41.7806,93.3794
FXY,43.2347,93.6242
IA49,43.1450,92.0536
FOD,42.5511,94.1919
FSW,40.6592,91.3269
GFZ,41.3272,94.4453
IA87,41.6575,93.8211
GGI,41.7100,92.7361
6K7,42.3508,92.8436
GCT,41.6878,94.4353
IA23,42.8089,91.0981
IA31,42.7667,93.2461
HPT,42.7236,93.2264
HNR,41.5844,95.3397
0Y4,43.1642,95.4700
2Y2,43.0369,96.4928
IA28,42.0583,91.6903
0K7,42.7361,94.2453
5IA3,40.8439,93.5428
IDG,42.3325,95.4450
IIB,42.4569,91.9478
IA86,41.2667,93.5094
IA41,41.4153,93.5614
IA66,41.3039,93.5678
IA11,41.2939,93.6656
IA85,41.4350,93.5406
IOW,41.6397,91.5481
IA16,41.7083,91.5003
IFA,42.4708,93.2700
IA17,42.6231,92.5014
EFW,42.0106,94.3422
93IA,42.2603,93.6497
EOK,40.4600,91.4286
6K9,40.7347,91.9489
27IA,40.7514,92.0308
OXV,41.2992,93.1136
IA97,42.3167,92.2836
0Y6,43.4136,93.5117
LWD,40.6333,93.9022
2VA,43.4514,96.4058
IA84,42.4833,96.2003
LRJ,42.7781,96.1936
12IA,42.8006,96.1378
IA83,42.9539,94.1678
6IA7,40.9903,91.7442
IA08,42.2781,94.5517
C27,42.4903,91.4978
MEY,42.1783,95.7936
OQW,42.0500,90.7389
IA69,42.8736,95.8031
C17,42.0297,91.5317
7IA3,42.0639,91.6344
MIW,42.1128,92.9178
62IA,42.0667,91.3669
73IA,43.2356,93.2083
MCW,43.1578,93.3314
01IA,41.6611,90.7414
0IA4,41.0333,91.0503
3IA1,41.9608,93.1200
IA00,41.5200,94.3628
4D8,43.3331,95.1592
0IA5,40.8722,93.2628
90IA,41.5403,95.8878
7C3,43.0328,91.3467
7C5,41.5483,92.5344
MXO,42.2203,91.1633
1Y3,40.7056,94.2239
MPZ,40.9467,91.5111
MUT,41.3678,91.1483
7IA7,43.0836,92.3100
1Y5,43.0872,92.3433
TNU,41.6744,93.0217
05IA,43.1375,93.0683
7IA1,41.4936,92.1483
5D2,43.4483,93.2019
IA01,41.3514,95.4664
OLZ,42.6808,91.9744
K36,42.0047,96.1042
ORC,42.9903,96.0628
D02,43.2922,92.7956
I75,41.0522,93.6897
IA63,41.2583,92.5517
OOA,41.2261,92.4939
IA32,41.3250,92.7172
OTM,41.1067,92.4481
IA24,41.7550,91.7278
04IA,41.0883,92.0547
1Y9,42.9881,95.6639
PEA,41.4011,92.9458
PRO,41.8281,94.1597
3Y4,41.7361,95.6836
IA30,42.3000,90.7500
U36,42.9211,112.8808
39ID,42.3978,113.5575
U01,42.7972,112.8253
AOC,43.6036,113.3342
ID34,47.9847,116.6831
ID05,47.9569,116.6775
ID48,47.9289,116.7111
55H,43.8136,115.1350
U45,43.9553,115.2725
52U,43.8250,115.3317
U46,43.4325,113.0556
U48,43.2178,113.2275
U37,43.4536,112.8072
U51,42.7208,111.8675
ID16,43.4036,114.2725
U54,44.9797,114.7347
U60,45.1333,115.3217
I08,45.1436,114.9289
U02,43.2092,112.3494
BOI,43.5644,116.2228
14ID,43.6811,116.2025
65S,48.7261,116.2953
ID39,42.7958,115.7339
U03,42.5917,114.7967
BYI,42.5425,113.7717
EUL,43.6419,116.6358
7GE1,43.6583,116.7511
ID00,43.6958,116.6383
ID77,44.7053,116.8069
U65,43.3089,113.9361
U70,44.4922,116.0147
ID86,44.2978,115.6414
ID44,44.2250,116.1794
ID35,44.2392,116.1433
02ID,44.5556,115.3050
ID74,44.5367,115.3508
34ID,46.5703,116.3436
2ID7,46.6667,115.0731
LLJ,44.5236,114.2178
ID67,44.8083,114.8092
U72,44.5917,114.8231
U79,45.3792,115.1967
ID52,43.9931,111.5506
ID01,48.1381,116.1978
VTI,42.2186,92.0258
06IA,41.8414,91.8344
AWG,41.2750,91.6753
10IA,42.4167,92.2503
ALO,42.5572,92.4003
Y01,43.2806,91.4694
C25,42.7419,92.5081
EBS,42.4364,93.8692
5IA7,41.4217,91.8333
19IA,40.8569,91.2039
4IA2,41.5861,91.2203
3Y2,42.9850,91.7906
IA58,42.1150,96.1719
4IA8,41.6472,91.9597
8IA2,41.1739,91.3619
3Y3,41.3628,94.0211
37ID,45.7825,115.9381
S80,45.9425,116.1233
0ID8,45.7753,116.1783
05ID,45.9142,114.8356
U91,42.3733,115.8794
U92,43.6772,113.6028
SUN,43.5039,114.2956
U93,43.2806,114.3964
ID21,47.7564,117.0239
ID06,47.8289,116.7836
U94,42.5761,114.1361
ID84,46.6172,115.8000
ID88,43.2875,115.0800
S66,43.6147,116.9214
ID63,43.6711,117.0256
ID95,43.8611,116.2408
U97,43.8392,113.0467
U98,43.8208,115.8508
IDA,43.5136,112.0708
ID50,43.6014,112.2433
ID87,43.4069,111.9744
S81,44.7611,115.1072
ID72,43.4208,111.2850
JER,42.7267,114.4567
S73,46.2197,116.0139
S83,47.5472,116.1886
U61,43.9436,114.1103
ID90,45.8389,116.6594
U99,43.0369,113.7336
S82,46.1328,115.9789
ID68,43.4847,116.4586
ID78,48.1417,116.1825
00ID,48.1453,116.2144
ID75,48.1261,116.1656
ID32,48.1056,116.1369
ID33,46.9361,115.8650
ID27,47.7556,116.8594
S77,47.8375,116.2636
6ID1,47.6436,116.6994
15ID,47.6856,117.0381
ID43,47.5514,116.7636
COE,47.7744,116.8194
ID65,47.5811,116.7719
U81,45.2936,114.9453
66S,48.5186,116.8222
S84,46.0389,116.3317
U82,44.7503,116.4450
03ID,44.7944,116.5328
ID17,45.0111,116.6889
S89,46.2478,116.4794
ID97,47.1072,116.8114
A05,45.5208,115.5175
ID28,45.3792,115.5050
ID76,45.3967,115.4833
ID96,44.7853,116.0667
44ID,44.7369,116.0742
U84,44.7292,116.0925
U58,42.4242,112.1094
DIJ,43.7425,111.0975
U41,44.1622,112.2206
1ID7,42.5878,114.3342
S90,45.8228,115.4397
ID85,46.7875,116.1678
S78,43.8528,116.5392
04ID,43.8778,116.5372
U86,43.3419,114.7983
0ID0,43.6064,115.1072
0ID1,42.6411,114.6056
S92,46.3303,115.0631
2ID6,43.9272,116.9464
U87,43.9122,114.7961
U88,44.0669,115.9314
U89,42.9436,115.3300
GNG,42.9172,114.7653
ID62,42.6083,111.7286
U10,42.1069,111.9125
96ID,48.2356,116.8753
1S6,48.1906,116.9097
ID61,48.2967,117.0153
06ID,43.4628,116.3589
ID59,44.8175,116.0681
U53,44.6347,111.3428
0U0,44.6425,115.5333
01ID,42.6083,112.0325
U00,44.6731,113.3525
LWS,46.3744,117.0153
0U1,44.1422,115.3142
0U2,43.8019,113.8317
2ID2,43.9544,113.6472
U62,43.9100,113.6025
ID56,43.9819,114.0436
0U3,44.7444,114.9214
MLD,42.1706,112.2894
07ID,42.2783,113.3050
ID40,43.4178,116.7061
08ID,43.5694,116.7767
0U7,43.3239,113.5906
0ID2,44.4428,113.7731
0U8,44.6103,113.8950
ID26,43.2242,115.9669
24K,44.9742,115.7297
MYL,44.8886,116.1017
2ID5,44.8075,116.0494
17ID,44.4139,116.5908
0U9,44.4617,116.7578
1U0,42.9753,113.3508
ID36,43.7631,113.3439
1U1,46.1208,114.9272
ID60,46.7133,116.9972
09ID,45.1039,114.8553
0ID3,43.0758,115.6728
MUO,43.0436,115.8725
U76,43.1317,115.7306
1U2,43.8508,112.5014
10ID,43.4944,113.9217
1U3,43.2158,116.5483
0ID7,43.2303,116.7633
S67,43.5814,116.5231
38ID,43.5094,116.6678
ID79,43.5083,116.6678
1U4,44.9781,116.2839
0S5,46.2386,116.2386
67S,48.5750,116.9636
1U6,42.2339,113.8778
0ID5,43.0531,116.4617
ID29,46.6975,115.9839
S68,46.4914,116.2767
75C,45.7303,115.5278
1U7,42.2497,111.3417
50S,43.7789,116.9386
S75,44.0944,116.9036
ID82,43.3083,114.0633
1U9,43.4625,115.3092
22ID,43.9447,115.9411
PIH,42.9097,112.5958
1S1,48.9958,116.5011
ID07,47.6781,117.0250
2U0,43.4983,115.5469
IL84,40.5764,91.1028
C82,41.7625,89.1014
IL88,41.6750,89.1167
IL87,41.7111,89.1122
2IS9,40.5781,88.7078
32LL,41.7042,90.2597
40IL,41.0058,88.6581
IL91,41.0208,88.6533
IL93,41.9453,88.9239
IL95,41.2231,88.1453
9LL2,38.0336,89.5792
27IS,38.1489,88.6703
8IS5,40.8167,87.9917
0IL3,40.1569,87.6744
IS88,40.1486,87.6944
DNV,40.1997,87.5956
IL23,42.4425,89.4500
DKB,41.9339,88.7056
0IL9,41.8547,88.7872
IS80,41.9178,88.7892
0IL8,41.8725,88.7236
DEC,39.8344,88.8656
0IS3,41.6608,89.6936
1IL2,40.3469,89.4706
1IL6,41.8667,89.4417
C73,41.8336,89.4461
6IL5,37.3864,89.1603
1IL8,40.9319,87.5958
IS52,40.9278,87.6225
01IS,39.0161,90.3181
LL22,41.7328,87.9992
08IS,37.9778,89.2028
IS13,39.5792,87.8486
47IS,42.4917,89.3569
2IL1,42.4139,89.3292
DTG,41.1333,88.4408
RXE,43.8339,111.8050
U56,43.6425,111.9294
ID12,43.1844,112.4664
2U4,43.1894,112.5317
ID24,48.2236,116.4386
12ID,44.9681,114.7328
SMN,45.1239,113.8814
8ID8,45.3533,113.8650
1ID3,48.1681,116.7267
ID19,48.2311,116.3894
ID25,48.3508,116.5542
68ID,48.2500,116.4667
SZT,48.2994,116.5600
26ID,48.3639,116.4036
2U5,45.9894,114.8414
0ID4,43.0478,114.4703
1S7,45.6717,116.3058
U78,42.6486,111.5817
85U,45.1000,114.8008
ID22,47.9781,116.7928
U12,43.9503,111.6847
ID13,47.3222,116.6400
S72,47.3261,116.5775
U63,44.4156,115.3167
13ID,44.2667,115.0008
2U7,44.2086,114.9344
2U8,44.7264,115.0033
ID92,43.7289,116.5228
3U0,42.0236,115.3356
2ID3,42.7519,116.6772
ID94,46.7767,116.6914
TWF,42.4817,114.4878
3U1,45.2683,115.6833
3ID2,46.3506,115.9769
S87,44.2047,116.9606
ID23,47.3925,116.8731
3U2,44.9122,115.4856
ID93,44.8944,115.7133
ID41,44.9000,115.3328
IL01,40.7925,90.4381
IL05,42.4403,88.4889
C00,41.2486,90.7372
7IS7,38.9139,89.6700
ALN,38.8903,90.0461
IL07,41.7236,89.2917
IL11,42.4653,88.0403
50IL,42.4889,88.1742
7A4,42.4664,90.1694
IL12,39.8800,90.4650
IL13,41.4708,89.1808
9LL3,39.5492,88.0322
79IL,41.7967,89.2303
LL48,39.9492,89.7425
IL94,40.2264,89.2428
3IL9,40.2694,89.3022
IL31,39.8433,88.4533
IL35,38.1819,89.8083
44IS,39.7447,91.0750
K06,39.9733,90.4036
IL86,39.9361,90.4667
IL29,41.3000,87.6500
7IS2,38.5244,90.0569
2IL7,38.5153,90.0278
BLV,38.5453,89.8353
IL36,42.3208,88.7583
IL34,42.2144,88.7569
0LL0,42.2647,88.7300
IS83,42.2275,88.7672
1IS2,39.8964,88.5222
4IL9,40.8275,89.1208
H96,38.0067,88.9344
IL38,41.7669,88.5319
IL57,40.4219,89.0206
BMI,40.4772,88.9158
1IS3,39.7278,89.0594
3IS1,39.7000,89.2089
3IS3,39.7333,89.1500
1C5,41.6961,88.1292
05IL,41.1600,88.0167
3IS6,38.2228,88.8828
3IS8,41.2308,89.6156
60IS,38.4006,87.9886
IS86,41.0417,88.1917
4IS9,39.0858,89.9589
IL46,40.4667,91.0333
IL15,40.5694,90.5486
CPS,38.5708,90.1561
CIR,37.0644,89.2197
92IL,37.0389,89.3208
56IL,42.4625,88.8750
IL51,41.0381,88.3375
CTK,40.5692,90.0747
88IL,42.4131,88.7333
09LL,42.4681,88.7431
LL28,42.4328,88.7172
MDH,37.7781,89.2519
8IS1,39.3078,89.9931
CUL,38.0894,88.1231
IL53,40.4611,91.0739
5IS9,40.3306,91.0500
IS51,40.4514,91.2039
IL52,40.4392,91.1439
1H8,39.3025,88.0042
ENL,38.5150,89.0911
IL55,40.1603,88.3044
IL56,40.2203,88.2536
CMI,40.0389,88.2778
IL58,41.4361,88.2486
30LL,39.7542,90.3653
IL60,40.7431,88.2911
IL63,40.7000,88.6750
11LL,40.7231,88.7631
MDW,41.7861,87.7525
ORD,41.9808,87.9067
IGQ,41.5350,87.5294
ARR,41.7719,88.4756
IL68,42.0772,88.1597
3CK,42.2067,88.3231
PWK,42.1142,87.9014
RFD,42.1953,89.0972
LOT,41.6072,88.0961
06C,41.9894,88.1011
UGN,42.4222,87.8678
DPA,41.9069,88.2483
IL81,40.9361,88.0417
7IS3,40.1433,89.0917
33IL,40.1661,88.8983
IL82,40.1094,88.8286
IL16,37.5400,89.1225
7IS9,38.4764,90.2361
H49,38.4522,90.2361
1H2,39.0706,88.5336
